,views
2018-04-20,283.266082
2018-04-21,270.620673
2018-04-22,287.747733
2018-04-23,302.523229
2018-04-24,300.709165
2018-04-25,309.43799
2018-04-26,297.731622
2018-04-27,290.627627
2018-04-28,274.636558
2018-04-29,298.364306
2018-04-30,317.359841
2018-05-01,302.332775
2018-05-02,295.478029
2018-05-03,296.932606
2018-05-04,290.364467
2018-05-05,280.413461
2018-05-06,288.49159
2018-05-07,305.415124
2018-05-08,301.793366
2018-05-09,295.473432
2018-05-10,299.000581
2018-05-11,281.971857
2018-05-12,277.831417
2018-05-13,290.456275
2018-05-14,304.702511
2018-05-15,306.687543
2018-05-16,308.209927
2018-05-17,297.449473
2018-05-18,288.317718
2018-05-19,301.142295
2018-05-20,312.401975
2018-05-21,318.995937
2018-05-22,307.07948
2018-05-23,297.872016
2018-05-24,287.034865
2018-05-25,278.299135
2018-05-26,269.03241
2018-05-27,281.949241
2018-05-28,297.158649
2018-05-29,302.888534
2018-05-30,286.750058
2018-05-31,284.187593
2018-06-01,277.480389
2018-06-02,269.152267
2018-06-03,281.935112
2018-06-04,291.106579
2018-06-05,285.321854
2018-06-06,281.443215
2018-06-07,286.902527
2018-06-08,283.896205
2018-06-09,273.5198
2018-06-10,286.919419
2018-06-11,293.852873
2018-06-12,282.094871
2018-06-13,282.212165
2018-06-14,277.677281
2018-06-15,266.40177
2018-06-16,255.779378
2018-06-17,285.796606
2018-06-18,309.339458
2018-06-19,304.995086
2018-06-20,296.218099
2018-06-21,289.005332
2018-06-22,285.33823
2018-06-23,281.370491
2018-06-24,293.588861
2018-06-25,300.426336
2018-06-26,290.10237
2018-06-27,288.898505
2018-06-28,284.813519
2018-06-29,275.136103
2018-06-30,278.684286
2018-07-01,288.922269
2018-07-02,294.995964
2018-07-03,295.163624
2018-07-04,292.873103
2018-07-05,289.874444
2018-07-06,282.078704
2018-07-07,284.7883
2018-07-08,293.580187
2018-07-09,291.731396
2018-07-10,296.051811
2018-07-11,287.541963
2018-07-12,283.332697
2018-07-13,279.823107
2018-07-14,279.395138
2018-07-15,306.129597
2018-07-16,302.456135
2018-07-17,289.984376
2018-07-18,284.755133
2018-07-19,281.299747
2018-07-20,268.311706
2018-07-21,263.558899
2018-07-22,280.972889
2018-07-23,286.982166
2018-07-24,280.130057
2018-07-25,281.148385
2018-07-26,277.075683
2018-07-27,271.634161
2018-07-28,264.567774
2018-07-29,285.756063
2018-07-30,303.317837
2018-07-31,288.952484
2018-08-01,290.354486
2018-08-02,284.750411
2018-08-03,274.760313
2018-08-04,270.332124
2018-08-05,284.107533
2018-08-06,294.367026
2018-08-07,286.814035
2018-08-08,279.542903
2018-08-09,277.991413
